age,male,female,intersex,total
Total,23548056,24014716,1524,47564296
0,552508,552528,38,1105074
1,580856,573920,29,1154805
2,614005,610705,33,1224743
3,619989,621941,26,1241956
4,638986,627675,28,1266689
0-4,3006344,2986769,154,5993267
5,626157,610459,40,1236656
6,635924,635942,30,1271896
7,609615,601301,24,1210940
8,618618,616833,46,1235497
9,626637,620981,36,1247654
5-9,3116951,3085516,176,6202643
10,700526,678721,33,1379280
11,573757,591394,33,1165184
12,686954,648485,36,1335475
13,635152,628630,29,1263811
14,613371,588912,39,1202322
10-14,3209760,3136142,170,6346072
15,611376,583931,34,1195341
16,553944,541378,31,1095353
17,561688,528796,27,1090511
18,475670,457032,24,932726
19,483586,488305,35,971926
15-19,2686264,2599442,151,5285857
20,486633,523210,46,1009889
21,406910,444707,44,851661
22,406099,455328,34,861461
23,420329,477116,43,897488
24,392719,434417,39,827175
20-24,2112690,2334778,206,4447674
25,454278,485467,51,939796
26,358506,404246,27,762779
27,373128,403578,29,776735
28,318319,353653,19,671991
29,335312,367915,27,703254
25-29,1839543,2014859,153,3854555
30,449798,497944,59,947801
31,296545,324359,29,620933
32,369586,407999,24,777609
33,302318,340100,18,642436
34,280431,301485,24,581940
30-34,1698678,1871887,154,3570719
35,382439,379319,25,761783
36,256797,251332,21,508150
37,262021,241630,20,503671
38,211212,206305,16,417533
39,235726,223242,11,458979
35-39,1348195,1301828,93,2650116
40,310926,285821,20,596767
41,249854,235257,16,485127
42,233583,220164,10,453757
43,199253,199791,11,399055
44,163538,160981,6,324525
40-44,1157154,1102014,63,2259231
45,266741,247573,15,514329
46,178394,172948,11,351353
47,185808,176586,11,362405
48,132797,125840,11,258648
49,152594,146924,3,299521
45-49,916334,869871,51,1786256
